,date,city_code,PM2.5,BC,OM,SO4,NO3,NH4,cl
903,2013/6/30,1001,61.98583,2.396918,31.21422,15.70588,11.09662,11.22609,1.572189
908,2013/7/1,1001,58.11891,2.412042,24.31667,15.36297,13.54951,11.94874,2.477716
913,2013/7/2,1001,21.71801,1.207117,10.40403,5.013799,4.171588,3.787839,0.9214731
918,2013/7/3,1001,23.12894,1.274246,12.82187,4.638243,3.335095,3.663908,1.059491
923,2013/7/4,1001,24.2409,1.410937,13.2957,4.801441,3.661967,3.676421,1.070854
928,2013/7/5,1001,22.10316,1.335503,11.3714,4.772584,3.672215,3.397947,0.9514566
933,2013/7/6,1001,30.49516,1.679861,12.84189,9.075159,4.915773,4.668116,1.982475
938,2013/7/7,1001,68.36009,2.644344,33.39375,18.86439,11.77075,12.43347,1.686857
943,2013/7/8,1001,57.00788,2.460178,26.76255,14.75632,10.76894,10.67224,2.259891
948,2013/7/9,1001,30.89225,1.673642,15.90299,6.602349,5.290523,5.567017,1.422748
953,2013/7/10,1001,32.61097,1.62944,16.20465,7.452972,5.389511,5.740805,1.934397
958,2013/7/11,1001,24.95,1.451973,12.64421,5.633911,4.113237,3.943783,1.106673
963,2013/7/12,1001,32.8194,1.864624,16.02291,6.98165,5.632588,5.532196,2.317632
968,2013/7/13,1001,45.27007,2.228235,19.99452,10.96737,8.367721,8.832407,3.712223
973,2013/7/14,1001,44.90312,2.250872,19.83212,11.36579,8.301506,8.933314,3.152829
978,2013/7/15,1001,24.47054,1.467411,11.05063,5.194865,5.671076,4.322546,1.086557
983,2013/7/16,1001,22.20829,1.292816,11.32974,4.755193,3.881489,3.828171,0.9490474
988,2013/7/17,1001,26.02052,1.606754,11.69818,7.059837,4.306274,4.306434,1.349476
993,2013/7/18,1001,44.57269,2.053186,19.19196,11.54049,8.541796,8.615437,3.245257
998,2013/7/19,1001,41.13722,1.944331,19.00395,10.22458,7.088127,7.455934,2.876228
1003,2013/7/20,1001,22.22483,1.279204,11.63081,4.97118,3.443203,3.522572,0.9004344
1008,2013/7/21,1001,25.42019,1.660649,11.30205,6.98533,4.312083,4.305765,1.16008
1013,2013/7/22,1001,49.44047,2.443917,21.37631,14.09358,8.598251,10.51692,2.928417
1018,2013/7/23,1001,44.19039,2.17691,18.73866,11.70804,8.084159,8.430685,3.482623
1023,2013/7/24,1001,22.43004,1.19871,11.84892,5.216447,3.157314,3.529745,1.008645
1028,2013/7/25,1001,22.06005,1.290586,11.65215,5.033788,3.213828,3.516749,0.8697021
1033,2013/7/26,1001,32.75559,1.817447,13.996,9.097761,5.459413,5.515294,2.384969
1038,2013/7/27,1001,33.3991,1.888775,15.18589,8.047602,6.223846,5.991704,2.052986
1043,2013/7/28,1001,23.11987,1.354887,11.66369,5.872938,3.311067,3.717768,0.917283
1048,2013/7/29,1001,31.4008,1.99352,14.94006,7.239096,5.229087,5.421471,1.999036
1053,2013/7/30,1001,37.44819,1.959052,15.29776,11.22234,6.527561,6.833864,2.441473
1058,2013/7/31,1001,58.30757,2.580253,25.45259,17.78917,10.31194,10.94268,2.173613
1063,2013/8/1,1001,39.38382,1.946883,16.89391,11.28956,6.271517,7.463831,2.981954
1068,2013/8/2,1001,44.23248,2.016118,18.42795,13.4818,7.24009,8.807503,3.066523
1073,2013/8/3,1001,47.45085,2.100147,21.96686,13.53185,7.300775,8.967116,2.551214
1078,2013/8/4,1001,37.49621,1.924839,17.80562,9.685196,5.174461,6.582123,2.906089
